OMNICARGO | SUZANO FAST DELIVERY — RESUMO DA OPERAÇÃO: FRETE COBRADO x FRETE A PAGAR (por rota e veículo),,,,,,,,,,,,,,,,,,,,,,
Origem,Destino,Viagens/mês,KM,Pedágio,FIORINO,,,VAN,,,3/4,,,TOCO,,,TRUCK,,,CARRETA,,
,,,,,Nosso Frete,A pagar,Sobra,Nosso Frete,A pagar,Sobra,Nosso Frete,A pagar,Sobra,Nosso Frete,A pagar,Sobra,Nosso Frete,A pagar,Sobra,Nosso Frete,A pagar,Sobra
GUARULHOS,HORTOLANDIA,1,100,R$ 60,R$ 635,R$ 380,R$ 255,R$ 1.050,R$ 630,R$ 420,R$ 1.100,R$ 660,R$ 440,R$ 1.185,R$ 710,R$ 475,R$ 2.065,R$ 1.240,R$ 825,R$ 2.585,R$ 1.550,R$ 1.035
GUARULHOS,IPERO,1,140,R$ 50,R$ 745,R$ 445,R$ 300,R$ 1.215,R$ 725,R$ 490,R$ 1.335,R$ 800,R$ 535,R$ 1.420,R$ 850,R$ 570,R$ 2.290,R$ 1.375,R$ 915,R$ 3.875,R$ 2.325,R$ 1.550
GUARULHOS,MOGI GUACU,1,175,R$ 75,R$ 1.065,R$ 638,R$ 428,R$ 1.315,R$ 788,R$ 528,R$ 1.460,R$ 875,R$ 585,R$ 1.545,R$ 925,R$ 620,R$ 2.355,R$ 1.413,R$ 943,R$ 4.480,R$ 2.688,R$ 1.793
GUARULHOS,SUMARE (2),1,105,R$ 60,R$ 720,R$ 430,R$ 290,R$ 1.050,R$ 630,R$ 420,R$ 1.185,R$ 710,R$ 475,R$ 1.270,R$ 760,R$ 510,R$ 2.150,R$ 1.290,R$ 860,R$ 2.915,R$ 1.750,R$ 1.165
GUARULHOS,TREMEMBE,1,140,R$ 55,R$ 750,R$ 448,R$ 303,R$ 1.220,R$ 728,R$ 493,R$ 1.345,R$ 805,R$ 540,R$ 1.430,R$ 855,R$ 575,R$ 2.305,R$ 1.383,R$ 923,R$ 3.895,R$ 2.338,R$ 1.558
GUARULHOS,RIO CLARO,1,175,R$ 80,R$ 1.070,R$ 640,R$ 430,R$ 1.320,R$ 790,R$ 530,R$ 1.470,R$ 880,R$ 590,R$ 1.555,R$ 930,R$ 625,R$ 2.365,R$ 1.420,R$ 945,R$ 4.500,R$ 2.700,R$ 1.800
GUARULHOS,SAO JOAO DA BOA VISTA,1,220,R$ 80,R$ 1.390,R$ 830,R$ 560,R$ 1.320,R$ 790,R$ 530,R$ 1.635,R$ 980,R$ 655,R$ 1.720,R$ 1.030,R$ 690,R$ 2.700,R$ 1.620,R$ 1.080,R$ 5.750,R$ 3.450,R$ 2.300
GUARULHOS,OSASCO,1,40,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
GUARULHOS,MAUA,1,35,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
GUARULHOS,CAPIVARI,"0,67",140,R$ 65,R$ 755,R$ 453,R$ 303,R$ 1.225,R$ 733,R$ 493,R$ 1.360,R$ 815,R$ 545,R$ 1.445,R$ 865,R$ 580,R$ 2.330,R$ 1.398,R$ 933,R$ 3.940,R$ 2.363,R$ 1.578
GUARULHOS,SAO PAULO (2),"0,67",25,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 1.835,R$ 1.100,R$ 735
GUARULHOS,ITAPECERICA DA SERRA,"0,67",60,,R$ 585,R$ 350,R$ 235,R$ 920,R$ 550,R$ 370,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
GUARULHOS,MOGI GUACU (2),"0,67",175,R$ 75,R$ 1.065,R$ 638,R$ 428,R$ 1.315,R$ 788,R$ 528,R$ 1.460,R$ 875,R$ 585,R$ 1.545,R$ 925,R$ 620,R$ 2.355,R$ 1.413,R$ 943,R$ 4.480,R$ 2.688,R$ 1.793
GUARULHOS,UBATUBA,"0,67",205,R$ 60,R$ 1.370,R$ 820,R$ 550,R$ 1.300,R$ 780,R$ 520,R$ 1.600,R$ 960,R$ 640,R$ 1.685,R$ 1.010,R$ 675,R$ 2.650,R$ 1.590,R$ 1.060,R$ 5.665,R$ 3.400,R$ 2.265
GUARULHOS,MONGAGUA,"0,67",125,R$ 60,R$ 750,R$ 450,R$ 300,R$ 1.135,R$ 680,R$ 455,R$ 1.270,R$ 760,R$ 510,R$ 1.350,R$ 810,R$ 540,R$ 2.235,R$ 1.340,R$ 895,R$ 3.330,R$ 2.000,R$ 1.330
GUARULHOS,HORTOLANDIA (2),"0,67",100,R$ 60,R$ 635,R$ 380,R$ 255,R$ 1.050,R$ 630,R$ 420,R$ 1.100,R$ 660,R$ 440,R$ 1.185,R$ 710,R$ 475,R$ 2.065,R$ 1.240,R$ 825,R$ 2.585,R$ 1.550,R$ 1.035
GUARULHOS,ATIBAIA,"0,67",45,R$ 30,R$ 560,R$ 335,R$ 225,R$ 775,R$ 465,R$ 310,R$ 885,R$ 530,R$ 355,R$ 970,R$ 580,R$ 390,R$ 1.575,R$ 945,R$ 630,R$ 2.125,R$ 1.275,R$ 850
GUARULHOS,SAO MIGUEL ARCANJO,"0,67",210,R$ 50,R$ 1.365,R$ 815,R$ 550,R$ 1.295,R$ 775,R$ 520,R$ 1.585,R$ 950,R$ 635,R$ 1.670,R$ 1.000,R$ 670,R$ 2.625,R$ 1.575,R$ 1.050,R$ 5.625,R$ 3.375,R$ 2.250
GUARULHOS,PERUIBE,"0,67",145,R$ 60,R$ 750,R$ 450,R$ 300,R$ 1.220,R$ 730,R$ 490,R$ 1.350,R$ 810,R$ 540,R$ 1.435,R$ 860,R$ 575,R$ 2.315,R$ 1.390,R$ 925,R$ 3.915,R$ 2.350,R$ 1.565
GUARULHOS,SAO ROQUE,"0,67",80,R$ 40,R$ 620,R$ 370,R$ 250,R$ 955,R$ 570,R$ 385,R$ 990,R$ 590,R$ 400,R$ 1.070,R$ 640,R$ 430,R$ 1.935,R$ 1.160,R$ 775,R$ 2.505,R$ 1.500,R$ 1.005
GUARULHOS,PILAR DO SUL,"0,67",170,R$ 50,R$ 1.045,R$ 625,R$ 420,R$ 1.295,R$ 775,R$ 520,R$ 1.420,R$ 850,R$ 570,R$ 1.505,R$ 900,R$ 605,R$ 2.290,R$ 1.375,R$ 915,R$ 4.375,R$ 2.625,R$ 1.750
GUARULHOS,PIRACAIA,"0,67",60,R$ 30,R$ 610,R$ 365,R$ 245,R$ 945,R$ 565,R$ 380,R$ 885,R$ 530,R$ 355,R$ 970,R$ 580,R$ 390,R$ 1.575,R$ 945,R$ 630,R$ 2.125,R$ 1.275,R$ 850
GUARULHOS,ARACOIABA DA SERRA,"0,67",130,R$ 50,R$ 745,R$ 445,R$ 300,R$ 1.130,R$ 675,R$ 455,R$ 1.255,R$ 750,R$ 505,R$ 1.335,R$ 800,R$ 535,R$ 2.210,R$ 1.325,R$ 885,R$ 3.290,R$ 1.975,R$ 1.315
GUARULHOS,SOCORRO,"0,33",140,R$ 60,R$ 750,R$ 450,R$ 300,R$ 1.220,R$ 730,R$ 490,R$ 1.350,R$ 810,R$ 540,R$ 1.435,R$ 860,R$ 575,R$ 2.315,R$ 1.390,R$ 925,R$ 3.915,R$ 2.350,R$ 1.565
GUARULHOS,EMBU DAS ARTES,"0,33",45,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
GUARULHOS,LORENA,"0,33",195,R$ 65,R$ 1.055,R$ 633,R$ 423,R$ 1.305,R$ 783,R$ 523,R$ 1.445,R$ 865,R$ 580,R$ 1.530,R$ 915,R$ 615,R$ 2.330,R$ 1.398,R$ 933,R$ 4.440,R$ 2.663,R$ 1.778
GUARULHOS,FRANCISCO MORATO,"0,33",50,,R$ 585,R$ 350,R$ 235,R$ 920,R$ 550,R$ 370,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
GUARULHOS,NOVA ODESSA,"0,33",110,R$ 60,R$ 720,R$ 430,R$ 290,R$ 1.050,R$ 630,R$ 420,R$ 1.185,R$ 710,R$ 475,R$ 1.270,R$ 760,R$ 510,R$ 2.150,R$ 1.290,R$ 860,R$ 2.915,R$ 1.750,R$ 1.165
GUARULHOS,GUARULHOS,"0,33",12,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 1.835,R$ 1.100,R$ 735
GUARULHOS,LARANJAL PAULISTA,"0,33",170,R$ 55,R$ 1.050,R$ 628,R$ 423,R$ 1.300,R$ 778,R$ 523,R$ 1.430,R$ 855,R$ 575,R$ 1.515,R$ 905,R$ 610,R$ 2.305,R$ 1.383,R$ 923,R$ 4.395,R$ 2.638,R$ 1.758
GUARULHOS,FRANCO DA ROCHA,"0,33",45,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
GUARULHOS,MAIRINQUE,"0,33",90,R$ 45,R$ 625,R$ 373,R$ 253,R$ 1.040,R$ 623,R$ 418,R$ 1.075,R$ 645,R$ 430,R$ 1.160,R$ 695,R$ 465,R$ 2.030,R$ 1.218,R$ 813,R$ 2.525,R$ 1.513,R$ 1.013
GUARULHOS,EMBU GUACU,"0,33",65,,R$ 585,R$ 350,R$ 235,R$ 920,R$ 550,R$ 370,R$ 920,R$ 550,R$ 370,R$ 1.000,R$ 600,R$ 400,R$ 1.835,R$ 1.100,R$ 735,R$ 2.335,R$ 1.400,R$ 935
GUARULHOS,ITU,"0,33",105,R$ 50,R$ 715,R$ 425,R$ 290,R$ 1.045,R$ 625,R$ 420,R$ 1.170,R$ 700,R$ 470,R$ 1.255,R$ 750,R$ 505,R$ 2.125,R$ 1.275,R$ 850,R$ 2.875,R$ 1.725,R$ 1.150
GUARULHOS,CARAPICUIBA,"0,33",45,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
GUARULHOS,JAGUARIUNA,"0,33",105,R$ 60,R$ 720,R$ 430,R$ 290,R$ 1.050,R$ 630,R$ 420,R$ 1.185,R$ 710,R$ 475,R$ 1.270,R$ 760,R$ 510,R$ 2.150,R$ 1.290,R$ 860,R$ 2.915,R$ 1.750,R$ 1.165
GUARULHOS,BOM JESUS DOS PERDOES,"0,33",55,R$ 30,R$ 610,R$ 365,R$ 245,R$ 945,R$ 565,R$ 380,R$ 885,R$ 530,R$ 355,R$ 970,R$ 580,R$ 390,R$ 1.575,R$ 945,R$ 630,R$ 2.125,R$ 1.275,R$ 850
GUARULHOS,JUNDIAI,"0,33",50,R$ 35,R$ 615,R$ 368,R$ 248,R$ 950,R$ 568,R$ 383,R$ 895,R$ 535,R$ 360,R$ 980,R$ 585,R$ 395,R$ 1.590,R$ 953,R$ 638,R$ 2.150,R$ 1.288,R$ 863
GUARULHOS,BRAGANCA PAULISTA,"0,33",65,R$ 35,R$ 615,R$ 368,R$ 248,R$ 950,R$ 568,R$ 383,R$ 980,R$ 585,R$ 395,R$ 1.060,R$ 635,R$ 425,R$ 1.925,R$ 1.153,R$ 773,R$ 2.485,R$ 1.488,R$ 998
GUARULHOS,LIMEIRA,"0,33",150,R$ 80,R$ 770,R$ 460,R$ 310,R$ 1.240,R$ 740,R$ 500,R$ 1.385,R$ 830,R$ 555,R$ 1.470,R$ 880,R$ 590,R$ 2.365,R$ 1.420,R$ 945,R$ 4.000,R$ 2.400,R$ 1.600
GUARULHOS,ITANHAEM,"0,33",135,R$ 60,R$ 750,R$ 450,R$ 300,R$ 1.220,R$ 730,R$ 490,R$ 1.350,R$ 810,R$ 540,R$ 1.435,R$ 860,R$ 575,R$ 2.315,R$ 1.390,R$ 925,R$ 3.915,R$ 2.350,R$ 1.565
GUARULHOS,TIETE,"0,33",160,R$ 55,R$ 750,R$ 448,R$ 303,R$ 1.220,R$ 728,R$ 493,R$ 1.345,R$ 805,R$ 540,R$ 1.430,R$ 855,R$ 575,R$ 2.305,R$ 1.383,R$ 923,R$ 3.895,R$ 2.338,R$ 1.558
GUARULHOS,ESPIRITO SANTO DO PINHAL,"0,33",210,R$ 80,R$ 1.390,R$ 830,R$ 560,R$ 1.320,R$ 790,R$ 530,R$ 1.635,R$ 980,R$ 655,R$ 1.720,R$ 1.030,R$ 690,R$ 2.700,R$ 1.620,R$ 1.080,R$ 5.750,R$ 3.450,R$ 2.300
GUARULHOS,PRAIA GRANDE,"0,33",115,R$ 60,R$ 720,R$ 430,R$ 290,R$ 1.050,R$ 630,R$ 420,R$ 1.185,R$ 710,R$ 475,R$ 1.270,R$ 760,R$ 510,R$ 2.150,R$ 1.290,R$ 860,R$ 2.915,R$ 1.750,R$ 1.165
GUARULHOS,CAMPOS DO JORDAO,"0,33",175,R$ 55,R$ 1.050,R$ 628,R$ 423,R$ 1.300,R$ 778,R$ 523,R$ 1.430,R$ 855,R$ 575,R$ 1.515,R$ 905,R$ 610,R$ 2.305,R$ 1.383,R$ 923,R$ 4.395,R$ 2.638,R$ 1.758
GUARULHOS,REGISTRO,"0,33",215,R$ 45,R$ 1.360,R$ 813,R$ 548,R$ 1.290,R$ 773,R$ 518,R$ 1.575,R$ 945,R$ 630,R$ 1.660,R$ 995,R$ 665,R$ 2.615,R$ 1.568,R$ 1.048,R$ 5.605,R$ 3.363,R$ 2.243
GUARULHOS,MOGI MIRIM,"0,33",155,R$ 75,R$ 765,R$ 458,R$ 308,R$ 1.235,R$ 738,R$ 498,R$ 1.375,R$ 825,R$ 550,R$ 1.460,R$ 875,R$ 585,R$ 2.355,R$ 1.413,R$ 943,R$ 3.980,R$ 2.388,R$ 1.593
